,Messstelle,LQI<sub>BW</sub>,NO<sub>2</sub> [µg/m<sup>3</sup>],O<sub>3</sub> [µg/m<sup>3</sup>],PM<sub>10</sub> [µg/m<sup>3</sup>],"PM<sub>2,5</sub> [µg/m<sup>3</sup>]",Kategorie,Reg.-Bez.,extra_0,extra_1,extra_2,extra_3
0,Aalen,2,3,3,8,72.0,13.0,15,6.0,9,städt. Hgr.,S
1,Baden-Baden,2,2,4,24,19.0,11.0,11,7.0,8,städt. Hgr.,KA
2,Bernhausen,2,2,4,23,45.0,16.0,17,7.0,8,städt. Hgr.,S
3,Biberach,1,2,3,19,28.0,11.0,13,6.0,9,städt. Hgr.,TÜ
4,Eggenstein,2,2,4,13,54.0,13.0,14,8.0,9,städt. Hgr.,KA
5,Freiburg,2,2,3,27,30.0,14.0,17,9.0,12,städt. Hgr.,FR
6,Freiburg Schwarzwaldstraße,2,2,2,36,,14.0,16,9.0,11,Verkehr,FR
7,Friedrichshafen,2,2,4,22,21.0,11.0,11,7.0,7,städt. Hgr.,TÜ
8,Gärtringen,1,2,4,20,24.0,10.0,11,6.0,6,städt. Hgr.,S
9,Heidelberg,2,3,3,26,41.0,12.0,12,7.0,8,städt. Hgr.,KA
10,Heilbronn,2,3,3,30,29.0,22.0,24,12.0,13,städt. Hgr.,S
11,Heilbronn Weinsberger Straße-Ost,3,3,3,43,,,,,,Verkehr,S
12,Karlsruhe Reinhold-Frank-Straße,2,2,2,33,,15.0,16,9.0,11,Verkehr,KA
13,Karlsruhe-Nordwest,2,2,4,14,49.0,21.0,22,10.0,12,städt. Hgr.,KA
14,Kehl,2,3,3,26,21.0,16.0,22,10.0,15,städt. Hgr.,FR
15,Konstanz,1,2,3,19,20.0,11.0,11,7.0,7,städt. Hgr.,
16,Ludwigsburg,2,2,3,23,50.0,12.0,15,7.0,9,städt. Hgr.,S
17,Ludwigsburg Schlossstraße,3,3,3,46,,15.0,16,8.0,10,Spot (kontinuierlich),S
18,Mannheim Friedrichsring,2,3,2,38,,20.0,20,11.0,11,Verkehr,KA
19,Mannheim-Nord,2,3,4,14,33.0,20.0,20,12.0,13,städt. Hgr.,KA
20,Neuenburg,2,2,3,23,17.0,15.0,18,10.0,13,städt. Hgr.,FR
21,Pforzheim,3,3,3,44,23.0,11.0,11,7.0,7,städt. Hgr.,KA
22,Pforzheim Luisenstraße,3,3,3,54,,17.0,17,8.0,9,Spot (kontinuierlich),KA
23,Reutlingen,2,3,3,18,34.0,11.0,11,6.0,6,städt. Hgr.,TÜ
24,Reutlingen Lederstraße-Ost,2,3,3,37,,11.0,12,6.0,7,Verkehr,TÜ
25,Schramberg Oberndorfer Straße,2,2,2,24,,,,,,Verkehr,FR
26,Schwarzwald-Süd,3,3,4,2,100.0,9.0,9,5.0,5,ländl. Hgr.,FR
27,Schwäbisch Hall,2,3,3,31,17.0,11.0,12,7.0,7,städt. Hgr.,S
28,Schwäbische Alb,2,3,3,7,63.0,8.0,8,5.0,5,ländl. Hgr.,TÜ
29,Stuttgart Hauptstätter Straße,3,3,2,45,,14.0,15,8.0,9,Spot (kontinuierlich),S
30,Stuttgart Hohenheimer Straße,3,3,3,48,,,,,,Spot (kontinuierlich),S
31,Stuttgart-Bad Cannstatt,2,2,3,40,10.0,12.0,12,7.0,7,städt. Hgr.,S
32,Tauberbischofsheim,2,2,4,7,33.0,16.0,17,10.0,11,städt. Hgr.,S
33,Tübingen Mühlstraße,2,2,2,27,,17.0,17,8.0,8,Spot (kontinuierlich),TÜ
34,Ulm,2,2,3,26,38.0,13.0,16,8.0,11,städt. Hgr.,TÜ
35,Villingen-Schwenningen,1,2,3,20,6.0,11.0,11,6.0,6,städt. Hgr.,FR
36,Weil am Rhein,2,2,3,21,14.0,12.0,13,6.0,7,städt. Hgr.,FR
37,Wiesloch,2,3,4,10,60.0,13.0,14,8.0,8,städt. Hgr.,KA
